zip,City,CountyName,zori_rent,zori_as_of,zhvi_value,zhvi_as_of,rent_to_value_ratio,ratio_imputed
33010,Hialeah,Miami-Dade County,2242.9166666666665,2026-06-30,534511.4078341305,2026-06-30,0.004196199807512225,False
33012,Hialeah,Miami-Dade County,2277.1075336700337,2026-06-30,383648.02149782266,2026-06-30,0.005935407993972822,False
33013,Hialeah,Miami-Dade County,2674.9,2026-06-30,567956.3717316248,2026-06-30,0.004709692738976727,False
33014,Miami Lakes,Miami-Dade County,2347.8989974937344,2026-06-30,443879.03267621534,2026-06-30,0.005289501924292049,False
33015,Hialeah,Miami-Dade County,2325.6990740740744,2026-06-30,397334.8281851397,2026-06-30,0.005853247460578527,False
33016,Miami Lakes,Miami-Dade County,2349.875901875902,2026-06-30,293649.6104447557,2026-06-30,0.008002312341967108,False
33018,Hialeah,Miami-Dade County,3026.8575737987503,2026-06-30,532003.5322195467,2026-06-30,0.005689544129849179,False
33030,Homestead,Miami-Dade County,2242.444444444445,2026-06-30,519285.2457388341,2026-06-30,0.004318328823793013,False
33031,,,,,913244.0542497212,2026-06-30,0.005336144045673696,True
33032,Homestead,Miami-Dade County,2642.6495726495727,2026-06-30,454697.69810120255,2026-06-30,0.005811882452198813,False
33033,Homestead,Miami-Dade County,2505.971164021164,2026-06-30,435378.701844777,2026-06-30,0.00575584233542642,False
33034,Florida City,Miami-Dade County,2349.0,2026-06-30,381925.61482360034,2026-06-30,0.006150412302366602,False
33035,Homestead,Miami-Dade County,2366.2638888888887,2026-06-30,329010.4047013032,2026-06-30,0.007192064004897155,False
33054,Opa-locka,Miami-Dade County,2614.8571428571427,2026-06-30,427295.4875660688,2026-06-30,0.006119552438411442,False
33055,Opa-locka,Miami-Dade County,3210.0,2026-06-30,503018.5343770718,2026-06-30,0.006381474599092459,False
33056,Miami Gardens,Miami-Dade County,2673.5793650793653,2026-06-30,480977.2535929796,2026-06-30,0.0055586399255001875,False
33109,,,,,6880848.080153801,2026-06-30,0.005336144045673696,True
33122,Miami,Miami-Dade County,2715.4146975029325,2026-06-30,1534240.8280599106,2026-06-30,0.0017698751381402414,False
33125,Miami,Miami-Dade County,2340.9869117237536,2026-06-30,466747.29993496207,2026-06-30,0.0050155339132116105,False
33126,Miami,Miami-Dade County,2416.9812500000003,2026-06-30,300197.35646914167,2026-06-30,0.008051307574550378,False
33127,Miami,Miami-Dade County,2958.9600877192984,2026-06-30,532330.8327714059,2026-06-30,0.005558498410310826,False
33128,Miami,Miami-Dade County,2633.837037037037,2026-06-30,428675.8349917128,2026-06-30,0.006144122952692108,False
33129,Miami,Miami-Dade County,3692.42201426025,2026-06-30,695398.0433161388,2026-06-30,0.0053097963817272595,False
33130,Miami,Miami-Dade County,3236.9044565952317,2026-06-30,509366.0542139997,2026-06-30,0.006354770660149474,False
33131,Miami,Miami-Dade County,3778.813057334695,2026-06-30,580449.2323042261,2026-06-30,0.006510152562927564,False
33132,Miami,Miami-Dade County,3357.296207007393,2026-06-30,514938.38837698987,2026-06-30,0.006519801752572958,False
33133,Miami,Miami-Dade County,3646.5957331488207,2026-06-30,1354646.5596869062,2026-06-30,0.002691916726966511,False
33134,Coral Gables,Miami-Dade County,3137.493991144845,2026-06-30,889258.5072447037,2026-06-30,0.0035282136359494824,False
33135,Miami,Miami-Dade County,2072.2721755368816,2026-06-30,529869.8759988638,2026-06-30,0.003910907695272197,False
33136,Miami,Miami-Dade County,2590.5715920320386,2026-06-30,319408.5684137587,2026-06-30,0.008110526292069403,False
33137,Miami,Miami-Dade County,3607.473400596193,2026-06-30,676044.9811172113,2026-06-30,0.005336144045673696,False
33138,Miami,Miami-Dade County,2372.474358974359,2026-06-30,814681.8109615789,2026-06-30,0.002912148432740997,False
33139,Miami Beach,Miami-Dade County,3010.3234193789754,2026-06-30,465395.23912790866,2026-06-30,0.006468315887846076,False
33140,Miami Beach,Miami-Dade County,3838.8051568314727,2026-06-30,688003.4778963052,2026-06-30,0.005579630452696711,False
33141,Miami Beach,Miami-Dade County,2631.784922913344,2026-06-30,424431.5255453607,2026-06-30,0.006200729127111164,False
33142,Brownsville,Miami-Dade County,2365.1199564270155,2026-06-30,427877.4479705112,2026-06-30,0.005527563950016867,False
33143,Miami,Miami-Dade County,2768.9667953667954,2026-06-30,967276.5345109428,2026-06-30,0.002862642374310043,False
33144,Miami,Miami-Dade County,2417.6018518518517,2026-06-30,622753.0625979208,2026-06-30,0.003882119570422364,False
33145,Miami,Miami-Dade County,2973.0333333333333,2026-06-30,737215.2435168688,2026-06-30,0.004032788740436978,False
33146,Coral Gables,Miami-Dade County,3647.0740740740744,2026-06-30,1968949.5980592289,2026-06-30,0.0018522942779586403,False
33147,West Little River,Miami-Dade County,2388.0833333333335,2026-06-30,443359.9402060735,2026-06-30,0.005386330871984856,False
33149,Key Biscayne,Miami-Dade County,7691.824074074076,2026-06-30,1703053.082840693,2026-06-30,0.0045164910897810134,False
33150,West Little River,Miami-Dade County,2392.3809523809523,2026-06-30,450688.6718786157,2026-06-30,0.005308278422904967,False
33154,Bal Harbour,Miami-Dade County,4608.43418933808,2026-06-30,1221612.280347116,2026-06-30,0.0037724196649599924,False
33155,Miami,Miami-Dade County,2857.007971014493,2026-06-30,720043.7903282804,2026-06-30,0.003967825303669285,False
33156,Pinecrest,Miami-Dade County,2746.0208333333335,2026-06-30,1548448.4811474374,2026-06-30,0.0017734014833341218,False
33157,Village of Palmetto Bay,Miami-Dade County,2803.2641269841265,2026-06-30,629534.0834911336,2026-06-30,0.004452918754515072,False
33158,,,,,1385426.397236467,2026-06-30,0.005336144045673696,True
33160,North Miami Beach,Miami-Dade County,3211.7443023586243,2026-06-30,511565.31531677785,2026-06-30,0.006278268299659464,False
33161,North Miami,Miami-Dade County,2353.7639828234032,2026-06-30,502821.0881424844,2026-06-30,0.00468111628237123,False
33162,North Miami Beach,Miami-Dade County,2302.041628959276,2026-06-30,472645.3885877212,2026-06-30,0.004870547104749813,False
33165,Miami,Miami-Dade County,3216.005291005291,2026-06-30,684214.5507455248,2026-06-30,0.004700287778886184,False
33166,Miami Springs,Miami-Dade County,2922.52183908046,2026-06-30,608877.0391003831,2026-06-30,0.004799855556055277,False
33167,Westview,Miami-Dade County,2749.5166666666664,2026-06-30,471358.9387485776,2026-06-30,0.005833169673129411,False
33168,North Miami,Miami-Dade County,2858.3333333333335,2026-06-30,465787.2100339218,2026-06-30,0.006136564662488629,False
33169,Miami Gardens,Miami-Dade County,2294.555555555555,2026-06-30,472352.1231315215,2026-06-30,0.004857722540429145,False
33170,Miami,Miami-Dade County,2191.311111111111,2026-06-30,572544.0193328781,2026-06-30,0.003827323379719174,False
33172,Fountainbleau,Miami-Dade County,2446.90037037037,2026-06-30,296536.35191858764,2026-06-30,0.008251603402210036,False
33173,Miami,Miami-Dade County,2629.9166666666665,2026-06-30,568732.9714521468,2026-06-30,0.004624167753017196,False
33174,Fountainbleau,Miami-Dade County,2628.251851851852,2026-06-30,445764.401314062,2026-06-30,0.005896055952660349,False
33175,Miami,Miami-Dade County,3106.693121693122,2026-06-30,626951.1819003253,2026-06-30,0.004955239277604606,False
33176,Miami,Miami-Dade County,2317.352065826331,2026-06-30,630657.5886120697,2026-06-30,0.003674501199496041,False
33177,Miami,Miami-Dade County,2799.6049382716046,2026-06-30,572505.1948632351,2026-06-30,0.00489009525745945,False
33178,Doral,Miami-Dade County,3048.9167042523222,2026-06-30,555149.6887937333,2026-06-30,0.005492062349665033,False
33179,Ives Estates,Miami-Dade County,2193.1923583662715,2026-06-30,274695.63185231085,2026-06-30,0.007984081667324923,False
33180,Aventura,Miami-Dade County,3178.563543266769,2026-06-30,457501.13407371845,2026-06-30,0.006947662653781746,False
33181,North Miami,Miami-Dade County,2519.7173202614376,2026-06-30,317473.38325160404,2026-06-30,0.007936782902724513,False
33182,Miami,Miami-Dade County,3646.6666666666665,2026-06-30,669086.9017542489,2026-06-30,0.0054502138019824255,False
33183,Miami,Miami-Dade County,2554.270202020202,2026-06-30,398348.650993604,2026-06-30,0.006412147237474175,False
33184,Miami,Miami-Dade County,2911.1111111111113,2026-06-30,569856.9419750632,2026-06-30,0.0051084946004544786,False
33185,Miami,Miami-Dade County,3538.611111111111,2026-06-30,676160.4024466284,2026-06-30,0.00523339003335148,False
33186,The Crossings,Miami-Dade County,2610.253040890269,2026-06-30,524955.0484129619,2026-06-30,0.004972336295805815,False
33187,Miami,Miami-Dade County,3673.6111111111113,2026-06-30,722925.4729733035,2026-06-30,0.005081590355368169,False
33189,Cutler Bay,Miami-Dade County,2716.439814814815,2026-06-30,552940.0412666397,2026-06-30,0.004912720389343062,False
33190,Cutler Bay,Miami-Dade County,2695.740740740741,2026-06-30,439457.7353278707,2026-06-30,0.0061342434642309845,False
33193,Miami,Miami-Dade County,2446.243055555555,2026-06-30,444734.56408296706,2026-06-30,0.005500456346584293,False
33194,,Miami-Dade County,3374.5,2026-06-30,576113.5138157929,2026-06-30,0.005857352620752733,False
33196,The Hammocks,Miami-Dade County,2583.0313883617964,2026-06-30,569849.6759734057,2026-06-30,0.004532829441289958,False
