zip,n_sales,med_rent,med_sqft,med_dist_coast_km,city
33010,858,1720.0,1368.0,9.851554881162233,Hialeah
33012,2467,1573.0,1125.0,14.501797842006969,Hialeah
33013,1038,2049.0,1459.5,10.968642790791694,Hialeah
33014,1063,1587.0,1167.0,15.866885521692584,Hialeah
33015,2095,1639.0,1160.0,18.44584530558054,Unincorporated County
33016,1727,2081.0,1024.0,17.452742857299175,Hialeah
33018,1873,2418.0,1451.0,19.720645965309163,Hialeah
33030,1609,2181.0,1820.0,15.764365298900175,Unincorporated County
33031,466,3869.0,2516.0,13.874539309038813,Unincorporated County
33032,2112,2463.5,1765.0,7.038080952090956,Unincorporated County
33033,2266,2187.0,1385.5,10.857017888011246,Unincorporated County
33034,1103,2337.0,1682.0,15.704677149330386,Florida City
33035,1107,1705.0,1302.0,11.565711677810349,Homestead
33054,1292,2142.0,1175.5,10.902042776047505,Miami Gardens
33055,1127,2776.0,1473.0,15.042369739474656,Miami Gardens
33056,1360,2309.5,1411.0,12.894000885650613,Miami Gardens
33109,258,28215.0,3192.0,0.2224586181031995,Unincorporated County
33125,1183,1730.0,1080.0,4.95991667760936,Miami
33126,1850,1997.0,942.0,8.34121798447082,Miami
33127,875,2668.0,1289.0,3.1225854488814586,Miami
33128,348,2850.0,530.0,0.7477870114356716,Miami
33129,1480,3186.0,1316.0,0.1238454547673011,Miami
33130,2989,3171.0,997.0,0.6123096720627252,Miami
33131,5700,3906.0,1105.0,0.1604181743428157,Miami
33132,4356,3586.0,938.0,0.5560878646762183,Miami
33133,3497,2961.0,1642.0,1.5291085472175212,Miami
33134,2766,2593.0,1506.0,5.211681601594183,Coral Gables
33135,580,1643.0,1213.5,3.6371859358608285,Miami
33136,495,4785.0,848.0,1.0262942984533132,Miami
33137,4164,3682.0,1141.0,0.8324280748237548,Miami
33138,2250,1922.0,1538.0,2.350255325882335,Miami
33139,6897,3228.0,880.0,0.8589899155882831,Miami Beach
33140,3232,3794.0,1290.0,0.2322516319834276,Miami Beach
33141,4038,2590.5,1056.5,0.3274146171813877,Miami Beach
33142,1411,1929.0,1212.0,5.6341838686274555,Unincorporated County
33143,2271,2173.0,1658.0,5.545651162606992,Unincorporated County
33144,852,1890.0,1528.0,9.036860750329737,Miami
33145,1439,2238.0,1358.0,2.9207041254723856,Miami
33146,1083,2176.0,1893.0,3.3526355819682907,Coral Gables
33147,1793,1939.0,1208.0,7.1154492315326365,Unincorporated County
33149,1862,6097.0,1760.0,0.3412702038722466,Key Biscayne
33150,891,2176.0,1266.0,4.375941695261933,Unincorporated County
33154,2795,3489.0,1490.0,0.340482206966044,Bal Harbour
33155,2275,2222.0,1535.0,7.197639675789112,Unincorporated County
33156,2654,2217.0,2455.0,5.027976686018873,Pinecrest
33157,3536,2449.0,1727.5,4.201042986268498,Palmetto Bay
33158,528,6137.0,2639.5,3.105418100397616,Palmetto Bay
33160,8337,3987.0,1505.0,0.506451272396589,Sunny Isles Beach
33161,2067,1779.0,1260.0,5.150125377283458,North Miami
33162,2221,1705.0,1184.0,5.687608480063318,North Miami Beach
33165,2160,2585.0,1684.5,12.113951231751987,Unincorporated County
33166,2236,2235.5,1124.0,14.190804632439605,Doral
33167,774,2333.0,1370.0,8.226484784500638,Unincorporated County
33168,1043,2455.0,1330.0,6.747628082138239,Unincorporated County
33169,1641,1749.0,1424.0,9.256458965355987,Miami Gardens
33170,1006,2009.0,1904.0,7.4906842605011805,Unincorporated County
33172,1611,2063.0,1110.0,13.24813746513452,Unincorporated County
33173,1339,2196.0,1540.0,10.469659892938909,Unincorporated County
33174,1039,1887.0,1260.0,12.749246154321275,Unincorporated County
33175,1884,2725.0,1792.5,16.70624678843113,Unincorporated County
33176,2761,1837.0,1566.0,8.250253857538986,Unincorporated County
33177,2201,2494.0,1664.0,9.201224060264815,Unincorporated County
33178,2842,1947.5,1260.0,18.700704282754785,Doral
33179,2827,1517.0,1140.0,5.5707149693967235,Unincorporated County
33180,4920,2987.0,1353.0,1.1653020421930105,Aventura
33181,1669,2302.0,1300.0,3.513631718722767,North Miami
33182,442,2970.5,1815.5,18.3876929708753,Unincorporated County
33183,1480,1808.0,1190.0,15.089585922417848,Unincorporated County
33184,621,2350.0,1630.0,17.100925701750626,Unincorporated County
33185,371,2826.0,1886.0,19.10049567289024,Unincorporated County
33186,1641,1914.0,1462.0,12.824045803978745,Unincorporated County
33187,928,2960.0,1870.0,13.467727238720272,Unincorporated County
33189,1009,2088.0,1453.0,3.2523477062080737,Cutler Bay
33190,296,1572.5,1264.0,1.5877439098797037,Cutler Bay
33193,1696,1595.0,1234.5,16.977241397582667,Unincorporated County
33196,1512,1723.0,1548.0,15.550674913173223,Unincorporated County
